Match_ID,GameMode
7235753528,22
7235309824,22
7235254622,22
7235203129,22
7235102316,22
7234767235,22
7234699118,22
7234645269,22
7234540646,15
7234424923,22
7233855652,2
7233807038,2
7233765171,2
7233696423,22
7233544765,22
7232312864,2
7232274325,2
7232223718,2
7232221708,1
7230802157,22
7230749948,22
7229601206,22
7228391019,22
7228347772,22
7228303651,22
7227071716,22
7225727683,22
7225666344,22
7225047218,22
7224933598,22
7224193466,22
7224117753,22
7223859057,22
7223730151,22
7223525930,22
7223435607,22
7223342376,22
7222717397,22
7221420470,22
7221368021,22
7221329428,22
7220104404,22
7220073201,22
7220020062,22
7218591479,22
7218512810,22
7217308473,22
7217110709,22
7215980194,22
7215930658,22
7215869407,22
7215409090,22
7215192394,22
7214497809,22
7214447944,22
7214296945,22
7214004053,22
7213786668,22
7213631972,22
7213028558,22
7212909148,15
7211643876,22
7211591415,22
7211470953,22
7211387089,22
7210111561,22
7209435490,15
7209400252,22
7208853036,22
7208809759,22
7207502097,22
7207371797,22
7206167487,22
7206113229,22
7206061341,22
7205989036,22
7205729991,22
7205472977,22
7205412892,22
7204717935,22
7204678723,22
7204615823,22
7201778854,22
7201769733,22
7200439005,22
7200393881,22
7200348395,22
7199897236,15
7199762193,15
7199737965,15
7199719754,15
7199693650,15
7199126198,22
7199079421,22
7198614865,15
7198609664,15
7197769865,22
7197713218,22
7197640913,15
7196458317,22
7196414266,22
7194855616,15
7194786825,15
7194708936,15
7194686452,15
7194658946,15
7194431995,15
7194295456,22
7194059972,15
7194003295,22
7193954351,22
7193945403,15
7193919458,15
7193844187,22
7193809803,15
7193783368,15
7193766040,15
7193377033,15
7193354667,15
7193331156,15
7193269829,22
7193208264,22
7191902465,22
7191866389,22
7191800941,22
7190533274,22
7190530480,22
7190502366,22
7190480888,15
7190272440,22
7190234033,15
7190194243,15
7189218382,22
7189169045,22
7189108811,22
7189035295,22
7188987412,15
7187778144,22
7187746642,15
7187718928,15
7187688657,15
7187546695,15
7186399147,15
7186366776,15
7186326343,15
7186288654,15
7186249713,15
7186198462,22
7186138031,22
7186057293,22
7185865452,22
7185815786,23
7185765138,15
7185713960,15
7185665742,15
7185627054,15
7185504094,15
7185477702,15
7185391898,15
7185292243,15
7185263261,15
7185241708,15
7184215747,15
7184188509,15
7184154983,15
7184112591,23
7184019393,15
7183983717,15
7183270036,15
7183249937,15
7183203463,22
7183161780,22
