Match_ID,GameMode
7955449804,22
7955358834,22
7955253395,22
7954961445,15
7954876559,15
7954803425,22
7954728685,22
7954648042,22
7953829094,15
7953789447,15
7952120112,22
7952060855,22
7952004850,22
7951949709,22
7951888649,22
7951498150,15
7951423913,15
7951321756,15
7951292490,15
7951274844,15
7951242368,15
7950649089,22
7950590775,22
7950575629,15
7950503335,22
7950450641,22
7950353138,22
7950257910,22
7949999173,22
7949766725,15
7949734351,22
7949678623,22
7949253277,22
7949183706,22
7947202672,22
7947104304,22
7947064427,22
7927667438,22
7922135533,22
7922084070,15
7920799871,22
7919374062,15
7919319084,15
7919250591,22
7919093156,22
7919032427,22
7918965925,22
7918055196,22
7917945164,22
7917888232,22
7917800188,22
7917748287,22
7916708702,22
7915287228,15
7915230498,22
7915166264,22
7915107644,22
7913517463,22
7913427346,22
7913294146,22
7913177738,22
7913093974,15
7913047774,15
7912395577,22
7912303380,22
7912254392,22
7912204181,22
7912112266,22
7912049054,22
7911952343,22
7911856800,22
7911698945,22
7911522085,22
7906147800,15
7906090953,22
7906032557,22
7902976348,22
7902914471,15
7882795970,15
7882753521,15
7877408104,15
7877132630,22
7876443415,15
7876359767,22
7876270557,22
7876105364,15
7874972732,15
7874954744,15
7874934518,15
7874867390,22
7874825845,22
7874567911,15
7874498054,22
7874443178,22
7874345204,22
7874285884,22
7874180662,22
7874101995,15
7874053586,15
7874019362,15
7873964276,15
7873917320,15
7873318186,22
7871866514,22
7871832362,22
7871694248,22
7871628201,22
7871520111,22
7871450265,22
7871234574,22
7870161607,22
7870088716,22
7870036144,22
7869986099,22
7869972023,22
7869916341,22
7869726376,15
7869714382,15
7869511593,22
7869415015,22
7869318238,22
7867435681,15
7867379758,15
7867348003,15
7867305906,15
7867238163,15
7866144514,22
7866063488,22
7866013570,15
7865521115,22
7864994752,15
7864973492,15
7864950006,15
7864932266,15
7864882948,22
7864854793,15
7864573261,22
7864485799,22
7864398430,22
7863231581,22
7862906588,22
7862759293,22
7862682005,22
7862577478,22
7862433269,22
7862358708,22
7861658930,22
7861582769,22
7860034232,15
7860007810,22
7859953662,22
7859907412,22
7859840287,22
7859531677,22
7859413343,22
7858463838,15
7858439384,15
7858388233,22
7858336830,22
7858274551,22
7858180268,22
7858097434,22
7858026940,22
7857976447,22
7857888296,22
7857637145,22
7857548514,22
7857414918,22
7856602086,22
7856502651,22
7856465458,22
7856419182,22
7856366693,22
7856278058,22
7856051343,22
7855991170,22
7855895598,22
7855491935,22
7855424581,22
7853025328,15
7853007108,15
7852903444,22
7852871131,22
7852800728,22
7851340069,22
7851306537,22
7851245477,22
7851194388,22
7850796859,22
7850702379,22
7850620658,22
7850528405,22
7850456186,22
7840337781,22
7840266169,22
7840180641,22
7840137381,22
7840019405,22
7839633128,22
7839499468,22
7838262388,22
7838107469,22
7829027965,15
7828988079,22
7827341694,22
7827240716,22
7824635560,22
7824567119,22
7824491032,22
