#,Match_ID,Team,Is_Winner,Duration,Nickname,Hero_Name,K,D,A,Account_ID
13,8737044109,Radiant,Yes,43 мин,Y O S E N,Void Spirit,14,4,21,104608913
13,8737044109,Radiant,Yes,43 мин,teo,Tidehunter,4,7,27,110621494
13,8737044109,Radiant,Yes,43 мин,Atzik,Witch Doctor,13,9,21,44019880
13,8737044109,Dire,No,43 мин,взаимные лайки от,Invoker,11,10,16,124379140
13,8737044109,Dire,No,43 мин,Булка с маком,Kunkka,10,13,15,48804856
13,8737044109,Dire,No,43 мин,Snake-Jazzman,Lich,5,12,8,37615683
13,8737044109,Dire,No,43 мин,StrongLeg,Lifestealer,6,6,11,34226035
13,8737044109,Dire,No,43 мин,3 goda na solyah,Tiny,4,10,14,1527517657
14,8735774646,Radiant,Yes,45 мин,Y O S E N,Void Spirit,16,7,23,104608913
14,8735774646,Radiant,Yes,45 мин,teo,Lone Druid,9,4,12,110621494
14,8735774646,Radiant,Yes,45 мин,StrongLeg,Warlock,6,7,40,34226035
14,8735774646,Radiant,Yes,45 мин,OUHETTUR,Earth Spirit,11,7,45,53849319
14,8735774646,Radiant,Yes,45 мин,plin2k,Skywrath Mage,16,7,31,286307758
14,8735774646,Dire,No,45 мин,Сквозной,Earthshaker,11,11,11,431403751
14,8735774646,Dire,No,45 мин,Snake-Jazzman,Shadow Shaman,2,15,15,37615683
14,8735774646,Dire,No,45 мин,Булка с маком,Crystal Maiden,7,11,19,48804856
14,8735774646,Dire,No,45 мин,Хоссср,Sniper,6,12,19,35394283
14,8735774646,Dire,No,45 мин,Жора Пасатижи,Largo,5,10,19,132943958
15,8727722116,Radiant,Yes,32 мин,teo,Lone Druid,7,4,8,110621494
15,8727722116,Radiant,Yes,32 мин,Snake-Jazzman,Crystal Maiden,2,8,13,37615683
15,8727722116,Radiant,Yes,32 мин,NajiL,Storm Spirit,18,1,14,386793843
15,8727722116,Radiant,Yes,32 мин,Сквозной,Warlock,5,6,18,431403751
15,8727722116,Radiant,Yes,32 мин,Sphinx,Sven,5,4,22,199157120
15,8727722116,Dire,No,32 мин,OUHETTUR,Wraith King,9,4,8,53849319
15,8727722116,Dire,No,32 мин,Atzik,Keeper of the Light,3,8,8,44019880
15,8727722116,Dire,No,32 мин,Хоссср,Pudge,4,11,10,35394283
15,8727722116,Dire,No,32 мин,StrongLeg,Drow Ranger,2,6,7,34226035
15,8727722116,Dire,No,32 мин,Y O S E N,Phantom Assassin,5,8,4,104608913
16,8727644462,Radiant,No,39 мин,Хоссср,Phantom Assassin,3,7,12,35394283
16,8727644462,Radiant,No,39 мин,Atzik,Witch Doctor,9,7,11,44019880
16,8727644462,Radiant,No,39 мин,Y O S E N,Queen of Pain,11,6,13,104608913
16,8727644462,Radiant,No,39 мин,StrongLeg,Razor,8,10,18,34226035
16,8727644462,Radiant,No,39 мин,OUHETTUR,Phoenix,8,7,21,53849319
16,8727644462,Dire,Yes,39 мин,Snake-Jazzman,Lich,3,14,12,37615683
16,8727644462,Dire,Yes,39 мин,Сквозной,Lifestealer,8,6,6,431403751
16,8727644462,Dire,Yes,39 мин,Sphinx,Bristleback,4,4,15,199157120
16,8727644462,Dire,Yes,39 мин,NajiL,Largo,19,3,7,386793843
16,8727644462,Dire,Yes,39 мин,teo,Silencer,2,13,19,110621494
21,7642592337,Radiant,Yes,28 мин,Хоссср,Clinkz,22,5,14,35394283
21,7642592337,Radiant,Yes,28 мин,teo,Omniknight,11,2,24,110621494
21,7642592337,Radiant,Yes,28 мин,Y O S E N,Slardar,8,5,22,104608913
21,7642592337,Radiant,Yes,28 мин,Булка с маком,Kunkka,7,5,26,48804856
21,7642592337,Radiant,Yes,28 мин,StrongLeg,Treant Protector,9,4,35,34226035
21,7642592337,Dire,No,28 мин,Atzik,Ancient Apparition,3,11,13,44019880
21,7642592337,Dire,No,28 мин,_TwoGirls_,Phantom Assassin,4,9,12,371248693
21,7642592337,Dire,No,28 мин,ИМПАКТ ИЗ ТАВЕРНЫ,Axe,6,14,8,94204864
21,7642592337,Dire,No,28 мин,Snake-Jazzman,Lich,4,14,9,37615683
21,7642592337,Dire,No,28 мин,KeS.Jr,Spirit Breaker,4,11,14,62575637
22,7642492857,Radiant,No,54 мин,_TwoGirls_,Faceless Void,16,13,17,371248693
22,7642492857,Radiant,No,54 мин,KeS.Jr,Pudge,8,15,17,62575637
22,7642492857,Radiant,No,54 мин,Atzik,Ancient Apparition,1,13,30,44019880
22,7642492857,Radiant,No,54 мин,Snake-Jazzman,Lich,5,18,14,37615683
22,7642492857,Radiant,No,54 мин,ИМПАКТ ИЗ ТАВЕРНЫ,Rubick,15,11,11,94204864
22,7642492857,Dire,Yes,54 мин,Хоссср,Wraith King,22,7,33,35394283
22,7642492857,Dire,Yes,54 мин,teo,Omniknight,14,9,21,110621494
22,7642492857,Dire,Yes,54 мин,StrongLeg,Grimstroke,7,9,54,34226035
22,7642492857,Dire,Yes,54 мин,Y O S E N,Puck,14,7,21,104608913
22,7642492857,Dire,Yes,54 мин,ластхит по перхоти,Snapfire,11,13,27,207865369
23,7627520080,Radiant,No,35 мин,ИМПАКТ ИЗ ТАВЕРНЫ,Centaur Warrunner,1,14,11,94204864
23,7627520080,Radiant,No,35 мин,люблю худых,Pudge,8,8,6,212155110
23,7627520080,Radiant,No,35 мин,_TwoGirls_,Sniper,4,11,4,371248693
23,7627520080,Radiant,No,35 мин,Atzik,Ancient Apparition,1,11,11,44019880
23,7627520080,Radiant,No,35 мин,Даня,Disruptor,0,11,10,25341301
23,7627520080,Dire,Yes,35 мин,Хоссср,Tidehunter,9,3,22,35394283
23,7627520080,Dire,Yes,35 мин,teo,Lone Druid,9,0,13,110621494
23,7627520080,Dire,Yes,35 мин,Y O S E N,Viper,20,3,11,104608913
23,7627520080,Dire,Yes,35 мин,StrongLeg,Undying,9,6,33,34226035
23,7627520080,Dire,Yes,35 мин,KeS.Jr,Nature's Prophet,6,4,26,62575637
24,7627450668,Radiant,Yes,39 мин,Хоссср,Wraith King,9,4,13,35394283
24,7627450668,Radiant,Yes,39 мин,KeS.Jr,Centaur Warrunner,3,8,27,62575637
24,7627450668,Radiant,Yes,39 мин,Atzik,Witch Doctor,8,6,22,44019880
24,7627450668,Radiant,Yes,39 мин,люблю худых,Shadow Fiend,16,4,15,212155110
24,7627450668,Radiant,Yes,39 мин,ИМПАКТ ИЗ ТАВЕРНЫ,Rubick,3,12,17,94204864
24,7627450668,Dire,No,39 мин,_TwoGirls_,Drow Ranger,4,8,7,371248693
24,7627450668,Dire,No,39 мин,StrongLeg,Vengeful Spirit,7,9,16,34226035
24,7627450668,Dire,No,39 мин,Жора Пасатижи,Night Stalker,11,7,10,132943958
24,7627450668,Dire,No,39 мин,Y O S E N,Necrophos,10,7,8,104608913
24,7627450668,Dire,No,39 мин,Даня,Disruptor,1,9,21,25341301
25,7627382559,Radiant,No,29 мин,ластхит по перхоти,Vengeful Spirit,0,9,5,207865369
25,7627382559,Radiant,No,29 мин,Жора Пасатижи,Omniknight,1,8,4,132943958
25,7627382559,Radiant,No,29 мин,Y O S E N,Death Prophet,2,9,3,104608913
25,7627382559,Radiant,No,29 мин,ИМПАКТ ИЗ ТАВЕРНЫ,Rubick,4,8,4,94204864
25,7627382559,Radiant,No,29 мин,люблю худых,Slark,1,4,2,212155110
25,7627382559,Dire,Yes,29 мин,StrongLeg,Slardar,6,0,18,34226035
25,7627382559,Dire,Yes,29 мин,KeS.Jr,Techies,9,0,12,62575637
25,7627382559,Dire,Yes,29 мин,Atzik,Jakiro,1,6,24,44019880
25,7627382559,Dire,Yes,29 мин,Хоссср,Wraith King,5,1,11,35394283
25,7627382559,Dire,Yes,29 мин,_TwoGirls_,Windranger,17,1,12,371248693
26,7611221400,Radiant,Yes,62 мин,Y O S E N,Queen of Pain,17,5,13,104608913
26,7611221400,Radiant,Yes,62 мин,teo,Sniper,17,3,24,110621494
26,7611221400,Radiant,Yes,62 мин,Хоссср,Pudge,4,11,31,35394283
26,7611221400,Radiant,Yes,62 мин,Булка с маком,Kunkka,14,14,29,48804856
26,7611221400,Radiant,Yes,62 мин,StrongLeg,Undying,5,9,36,34226035
